source,target_id,item_id,paper_item_no_from_match,excel_row,rater_id,family,dimension,score_column,max_score,expert_dimension_score_raw,expert_dimension_score_5
Human,Human_row_003,H003,3,3,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_003,H003,3,3,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,4,4.0
Human,Human_row_003,H003,3,3,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_004,H004,4,4,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_004,H004,4,4,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_004,H004,4,4,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,4,4.0
Human,Human_row_005,H005,5,5,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_005,H005,5,5,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_005,H005,5,5,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_006,H016,16,6,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_006,H016,16,6,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_006,H016,16,6,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_007,H017,17,7,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_007,H017,17,7,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_007,H017,17,7,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_008,H020,20,8,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_008,H020,20,8,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_008,H020,20,8,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_009,H008,8,9,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_009,H008,8,9,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_009,H008,8,9,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_010,H001,1,10,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,4,4.0
Human,Human_row_010,H001,1,10,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,3,3.0
Human,Human_row_010,H001,1,10,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_011,H002,2,11,expert1_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_011,H002,2,11,expert3_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
Human,Human_row_011,H002,2,11,expert4_ai_expert_ratings_clea,QGval,Fluency,qg_fluency,5,5,5.0
