proxy_domain,proxy_domain_label,component_source,component_name,component_max_score,normalization
presentation_clarity,Presentation clarity,qgeval,流畅性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,qgeval,清晰度,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,qgeval,简洁性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,llm,流畅性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,llm,排他性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,llm,明确性,4,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,qgeval,相关性,5,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,llm,目标性,5,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,llm,侧重性,5,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,llm,公平性,3,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,qgeval,一致性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,qgeval,可回答性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,qgeval,答案一致性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,llm,正确性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,llm,可解性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,llm,绝对性,5,1 + 4 * (raw - 1) / (max_score - 1)
item_design,Item-writing design,llm,防猜性,5,1 + 4 * (raw - 1) / (max_score - 1)
item_design,Item-writing design,llm,迷惑性,5,1 + 4 * (raw - 1) / (max_score - 1)
item_design,Item-writing design,llm,完整性,5,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,llm,综合性,5,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,llm,思维性,4,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,llm,反馈性,5,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,llm,答案解析专门评分,5,1 + 4 * (raw - 1) / (max_score - 1)
