source,item_seq,family,dimension,score
Human,1,QGval,Answer consistency,5.0
Human,1,QGval,Answerability,5.0
Human,1,QGval,Clarity,5.0
Human,1,QGval,Conciseness,4.666666666666667
Human,1,QGval,Consistency,5.0
Human,1,QGval,Fluency,4.666666666666667
Human,1,QGval,Relevance,4.666666666666667
Human,1,ULM,Absoluteness,5.0
Human,1,ULM,Completeness,5.0
Human,1,ULM,Comprehensiveness,2.3333333333333335
Human,1,ULM,Correctness,5.0
Human,1,ULM,Exclusiveness,5.0
Human,1,ULM,Explanation score,3.6666666666666665
Human,1,ULM,Explicitness,3.6666666666666665
Human,1,ULM,Fairness,3.0
Human,1,ULM,Feedback,3.3333333333333335
Human,1,ULM,Fluency,4.666666666666667
Human,1,ULM,Focus,4.333333333333333
Human,1,ULM,Goal alignment,5.0
Human,1,ULM,Guess resistance,4.333333333333333
Human,1,ULM,Plausibility,2.6666666666666665
Human,1,ULM,Reasoning,2.0
Human,1,ULM,Solvability,5.0
Human,2,QGval,Answer consistency,5.0
Human,2,QGval,Answerability,5.0
Human,2,QGval,Clarity,5.0
Human,2,QGval,Conciseness,5.0
Human,2,QGval,Consistency,5.0
Human,2,QGval,Fluency,4.666666666666667
Human,2,QGval,Relevance,4.333333333333333
Human,2,ULM,Absoluteness,5.0
Human,2,ULM,Completeness,3.6666666666666665
Human,2,ULM,Comprehensiveness,2.0
Human,2,ULM,Correctness,5.0
Human,2,ULM,Exclusiveness,4.333333333333333
Human,2,ULM,Explanation score,3.0
Human,2,ULM,Explicitness,3.3333333333333335
Human,2,ULM,Fairness,3.0
Human,2,ULM,Feedback,2.6666666666666665
Human,2,ULM,Fluency,5.0
Human,2,ULM,Focus,4.0
Human,2,ULM,Goal alignment,4.666666666666667
Human,2,ULM,Guess resistance,4.333333333333333
Human,2,ULM,Plausibility,2.6666666666666665
Human,2,ULM,Reasoning,1.3333333333333333
Human,2,ULM,Solvability,5.0
Human,3,QGval,Answer consistency,5.0
Human,3,QGval,Answerability,5.0
Human,3,QGval,Clarity,5.0
Human,3,QGval,Conciseness,5.0
Human,3,QGval,Consistency,5.0
Human,3,QGval,Fluency,5.0
Human,3,QGval,Relevance,4.333333333333333
Human,3,ULM,Absoluteness,5.0
Human,3,ULM,Completeness,5.0
Human,3,ULM,Comprehensiveness,1.6666666666666667
Human,3,ULM,Correctness,5.0
Human,3,ULM,Exclusiveness,5.0
Human,3,ULM,Explanation score,3.6666666666666665
Human,3,ULM,Explicitness,3.3333333333333335
Human,3,ULM,Fairness,3.0
Human,3,ULM,Feedback,3.3333333333333335
Human,3,ULM,Fluency,5.0
Human,3,ULM,Focus,4.333333333333333
Human,3,ULM,Goal alignment,5.0
Human,3,ULM,Guess resistance,4.0
Human,3,ULM,Plausibility,2.6666666666666665
Human,3,ULM,Reasoning,1.3333333333333333
Human,3,ULM,Solvability,5.0
Human,4,QGval,Answer consistency,5.0
Human,4,QGval,Answerability,5.0
Human,4,QGval,Clarity,5.0
Human,4,QGval,Conciseness,5.0
Human,4,QGval,Consistency,5.0
Human,4,QGval,Fluency,5.0
Human,4,QGval,Relevance,4.333333333333333
Human,4,ULM,Absoluteness,5.0
Human,4,ULM,Completeness,5.0
Human,4,ULM,Comprehensiveness,1.6666666666666667
Human,4,ULM,Correctness,5.0
Human,4,ULM,Exclusiveness,5.0
Human,4,ULM,Explanation score,3.6666666666666665
Human,4,ULM,Explicitness,3.3333333333333335
Human,4,ULM,Fairness,3.0
Human,4,ULM,Feedback,3.3333333333333335
Human,4,ULM,Fluency,5.0
Human,4,ULM,Focus,4.333333333333333
Human,4,ULM,Goal alignment,5.0
Human,4,ULM,Guess resistance,4.333333333333333
Human,4,ULM,Plausibility,2.6666666666666665
Human,4,ULM,Reasoning,1.3333333333333333
Human,4,ULM,Solvability,5.0
Human,5,QGval,Answer consistency,5.0
Human,5,QGval,Answerability,5.0
Human,5,QGval,Clarity,5.0
Human,5,QGval,Conciseness,5.0
Human,5,QGval,Consistency,5.0
Human,5,QGval,Fluency,5.0
Human,5,QGval,Relevance,4.333333333333333
Human,5,ULM,Absoluteness,5.0
Human,5,ULM,Completeness,5.0
Human,5,ULM,Comprehensiveness,2.0
Human,5,ULM,Correctness,5.0
Human,5,ULM,Exclusiveness,5.0
Human,5,ULM,Explanation score,3.6666666666666665
Human,5,ULM,Explicitness,3.3333333333333335
Human,5,ULM,Fairness,3.0
Human,5,ULM,Feedback,3.3333333333333335
Human,5,ULM,Fluency,5.0
Human,5,ULM,Focus,4.333333333333333
