screening_domain,screening_domain_label,component_source,component_name,component_max_score,component_weight,normalization,domain_score,pass_rule,critical_rule
guideline_consistency,Guideline consistency,qgeval,相关性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
guideline_consistency,Guideline consistency,qgeval,一致性,5,0.15,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
guideline_consistency,Guideline consistency,llm,目标性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
guideline_consistency,Guideline consistency,llm,侧重性,5,0.15,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
guideline_consistency,Guideline consistency,llm,正确性,5,0.2,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
single_best_answer,Single best answer,qgeval,可回答性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
single_best_answer,Single best answer,qgeval,答案一致性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
single_best_answer,Single best answer,llm,可解性,5,0.2,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
single_best_answer,Single best answer,llm,绝对性,5,0.2,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
single_best_answer,Single best answer,llm,排他性,5,0.1,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
answer_key_validation,Answer-key validation,qgeval,答案一致性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
answer_key_validation,Answer-key validation,llm,正确性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
answer_key_validation,Answer-key validation,llm,可解性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
answer_key_validation,Answer-key validation,llm,绝对性,5,0.15,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
answer_key_validation,Answer-key validation,llm,答案解析专门评分,5,0.1,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
distractor_effectiveness,Distractor effectiveness,llm,迷惑性,5,0.35,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
distractor_effectiveness,Distractor effectiveness,llm,防猜性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
distractor_effectiveness,Distractor effectiveness,llm,完整性,5,0.15,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
distractor_effectiveness,Distractor effectiveness,llm,排他性,5,0.15,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
distractor_effectiveness,Distractor effectiveness,qgeval,答案一致性,5,0.1,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
stem_ambiguity_control,Stem ambiguity controlled,qgeval,清晰度,5,0.3,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
stem_ambiguity_control,Stem ambiguity controlled,qgeval,流畅性,5,0.15,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
stem_ambiguity_control,Stem ambiguity controlled,qgeval,一致性,5,0.1,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
stem_ambiguity_control,Stem ambiguity controlled,llm,排他性,5,0.25,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
stem_ambiguity_control,Stem ambiguity controlled,llm,明确性,4,0.2,1 + 4 * (raw - 1) / (max_score - 1),weighted mean of normalized components,domain_score >= 4.0,"domain_score < 3.0, any critical component <= 2, or invalid answer-key format"
critical_defect_flag,Critical defect flag,qgeval,清晰度,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,qgeval,一致性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,qgeval,可回答性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,qgeval,答案一致性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,llm,排他性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,llm,目标性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,llm,侧重性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,llm,正确性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,llm,可解性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,llm,绝对性,5,,1 + 4 * (raw - 1) / (max_score - 1),binary flag,critical_defect_flag == 0,normalized component <= 2
critical_defect_flag,Critical defect flag,derived,answer_key_format_ok,,,"legal A-E key; non-X items require one key, X items allow one or more unique keys",binary flag,critical_defect_flag == 0,answer_key_format_ok == 0
