panel,file,description,n_sheets
Figure 1A,data/source_data/source_data_fig_1_a.xlsx,Inputs and MAS generation workflow counts and named components.,5
Figure 1B,data/source_data/source_data_fig_1_b.xlsx,AI safety gate domains and machine screening source summaries.,5
Figure 1C,data/source_data/source_data_fig_1_c.xlsx,Expert intake review boundary and lock-state data used in workflow panel.,4
Figure 1D,data/source_data/source_data_fig_1_d.xlsx,Randomized two-sequence exam design and form/setting assignment data.,5
Figure 1E,data/source_data/source_data_fig_1_e.xlsx,Endpoint-domain tiles shown in the design figure.,4
Figure 2A,data/source_data/source_data_fig_2_a.xlsx,"Primary expert-rated composite quality difference, MAS minus Human.",6
Figure 2B,data/source_data/source_data_fig_2_b.xlsx,Expert rating component/domain scores and intermediate source differences.,4
Figure 2C,data/source_data/source_data_fig_2_c.xlsx,Major/critical defect flags and source-level defect rates.,5
Figure 2D,data/source_data/source_data_fig_2_d.xlsx,Defect adjudication workflow and category definitions.,5
Figure 2E,data/source_data/source_data_fig_2_e.xlsx,Expert rating consistency intermediate summaries.,5
Figure 3A,data/source_data/source_data_fig_3_a.xlsx,Expert-rated quality difference by cognitive level.,6
Figure 3B,data/source_data/source_data_fig_3_b.xlsx,Item-writing defect-risk difference by cognitive level.,6
Figure 3C,data/source_data/source_data_fig_3_c.xlsx,Student correct-answer rate difference by cognitive level.,6
Figure 3D,data/source_data/source_data_fig_3_d.xlsx,Source by cognitive-level interaction descriptive data.,5
Figure 3E,data/source_data/source_data_fig_3_e.xlsx,Classical test theory item statistics by cognitive level.,4
Figure 4A,data/source_data/source_data_fig_4_a.xlsx,Balanced source-identification accuracy under blinded conditions.,6
Figure 4B,data/source_data/source_data_fig_4_b.xlsx,True source by guessed source confusion matrix and stacked percentages.,6
Figure 4C,data/source_data/source_data_fig_4_c.xlsx,Ratings collected during the source-identification task.,4
Figure 4D,data/source_data/source_data_fig_4_d.xlsx,Aggregate workflow total time source-data template and available MAS timing data.,5
Figure 4E,data/source_data/source_data_fig_4_e.xlsx,Quality-adjusted time calculation template.,5
Figure 4F,data/source_data/source_data_fig_4_f.xlsx,Efficiency sensitivity-analysis parameter grid template.,5
Figure 5A,data/source_data/source_data_fig_5_a.xlsx,Two-sequence block-order schema and participant assignment data.,5
Figure 5B,data/source_data/source_data_fig_5_b.xlsx,"Paired block scores for each participant, colored by sequence group.",6
Figure 5C,data/source_data/source_data_fig_5_c.xlsx,Within-participant MAS-minus-Human score differences by randomized sequence.,5
Figure 5D,data/source_data/source_data_fig_5_d.xlsx,"Adjusted correct-answer rate difference, MAS minus Human, by sequence.",5
Figure 5E,data/source_data/source_data_fig_5_e.xlsx,Exploratory training-setting stratified MAS-minus-Human block score differences.,4
