A1型题
1. 以下对急迫性尿失禁的临床特点及治疗描述中，不正确的是（　　）
A. 系逼尿肌不稳定，逼尿肌反射亢进和高顺应性膀胱造成
B. 尿动力学检查可测定膀胱、尿道压力及膀胱括约肌功能
C. 感染、间质性膀胱炎、神经源性膀胱及特发性感觉性尿急使膀胱感觉过度敏感
D. 拟胆碱能制剂托特罗定是治疗的一线用药
E. 分为感觉性、运动性两类
答案：D；急迫性尿失禁一线治疗为消除病因，如感染因素，治疗前列腺增生等，如无法消除，则可选择拟胆碱能制剂如托特罗定抑制逼尿肌收缩，改善症状。
2. 以下关于压力性尿失禁的辅助检查及治疗，错误的是（　　）。
A. 膀胱尿道造影的观察指标为后尿道膀胱角、尿道倾斜度、尿道骨盆角、耻骨联合口距离
B. 一般不需要进行膀胱尿道镜检查
C. α受体激动药可用于治疗压力性尿失禁
D. 目前最常见的手术方式是尿道中段悬吊术
E. 棉签试验中棉签摆动幅度
3. 以下关于尿液分析的表述，不正确的是（　　）。
A. 正常尿液PH值为7.0-8.0，肾结核尿液为碱性
B. 尿比重正常为1.010~1.020,肾功能减退时尿比重<1.010,脱水等尿比重增高
C. 正常尿渗透压在50~1200mOsm/L，尿渗透压表示尿液中溶质的数量
D. 尿中红细胞增多见于肾炎、结石、胂瘤、结核等；白细胞增多见于泌尿系感
染
E. 正常尿液为淡黄色、透明；脱水、血尿、脓尿等可引起尿性状改变
4. 不能行前列腺按摩取前列腺液检查的是（　　）。
A. 前列腺癌
B. 前列腺结核
C. 急性前列腺炎
D. 前列腺增生
E. 慢性细菌性前列腺炎
5. 判断前列腺大小较准确的检查方法是（　　）。
A. 残余尿测定
B. B超
C. 膀胱造影
D. 直肠指诊
E. 膀胱镜检查
6. 可用于肾癌普查的辅助检查是（　　）。
A. 尿细胞学检查
B. B超检查
C. CT检查
D. MRI检查
E. 排泄性尿路造影
7. 泌尿系统感染一般都有典型的临床表现，确定泌尿系统感染诊断靠直接或间接的尿液分析，正常情况下尿沉渣检查无白细胞，当每高倍视野白细胞数超过多少时提示有尿路感染（　　）。
A. 3个
B. 4个
C. 5个
D. 6个
E. 8个
8. 以下哪种疾病无需与BPH鉴别（　　）。
A. 膀胱颈痉挛
B. 前列腺癌
C. 膀胱癌
D. 膀胱憩室
E. 神经源性膀胱
9. 下列哪项不是TURP术中及术后常见的并发症（　　）
A. 术后出血
B. 膀胱颈痉挛
C. 尿失禁
D. 逆行射精
E. TURP综合征
10. 下列前列腺增生的治疗药物中，应慎重使用的是（　　）。
A. 哌唑嗪，阿夫唑嗪
B. 特拉唑嗪，坦索罗辛
C. 非那雄胺、氯他胺
D. 伯泌松
E. 雌激素
A2型题
11. 患者男，50岁，无痛性肉眼血尿3天就诊，尿中查见癌细胞，以下最有确诊意义的检查方法是（　　）。
A. 尿路平片
B. IVU
C. 膀胱镜检查+逆行肾盂造影
D. B超
E. CT
12. 患者男，52岁。间断出现全程无痛性血尿9月余，期问血尿自行消失，故未进行任何检查及治疗，最近2周内又重新出现多次肉眼血尿，并有小血块。为明确诊断，下列哪项检查最适宜作为初步筛选检查（　　）。
A. 尿红细胞位相检查
B. 尿脱落细胞学检查
C. 尿结核杆菌检查
D. 尿三杯试验
E. 尿细菌学检查
13. 患者68岁男性，发现血尿2周，检查泌尿系彩超提示右肾3*2*2cm实质性肿块，为进一步明确诊断，暂不考虑的检查是（　　）。
A. 腹部X线平片
B. IVU
C. 肾动脉造影
D. CT
E. 红细胞相差显微镜检查
14. 患者男，72岁，进行性排尿困难4年余，既往有数次尿潴留置管病史。B超提示前列腺明显增大，膀胱充盈，参与尿200ml，查体可见右侧腹股沟区一包块，肿块突入阴囊，可回纳，患者的第一诊断是（　　）。
A. 前列腺增生
B. 膀胱颈挛缩
C. 膀胱结石
D. 腹股沟疝
E. 神经源性膀胱
15. 患者男，73岁。以饮酒后不能白行排尿9小时"就诊。超声：前列腺明显增大，膀胱充盈。急诊留置尿管引流出黄色尿液约900ml。患者体质可，既往有数次饮酒后或寒冷天气下不能排尿史，均行导尿处理，无其他特殊病史。诊断考虑前列腺增生合并尿潴留可能，治疗方式应首选（　　）。
A. 留置尿道支架
B. TURP
C. 耻骨上经膀胱前列腺摘除术
D. 观察等待
E. 口服非那雄胺+坦索罗辛
