proxy_domain,proxy_domain_label,component_source,component_name,component_max_score,normalization
presentation_clarity,Presentation clarity,qgeval,流畅性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,qgeval,清晰度,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,qgeval,简洁性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,ulm,流畅性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,ulm,排他性,5,1 + 4 * (raw - 1) / (max_score - 1)
presentation_clarity,Presentation clarity,ulm,明确性,4,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,qgeval,相关性,5,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,ulm,目标性,5,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,ulm,侧重性,5,1 + 4 * (raw - 1) / (max_score - 1)
blueprint_relevance,Blueprint relevance,ulm,公平性,3,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,qgeval,一致性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,qgeval,可回答性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,qgeval,答案一致性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,ulm,正确性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,ulm,可解性,5,1 + 4 * (raw - 1) / (max_score - 1)
answer_validity,Answer validity,ulm,绝对性,5,1 + 4 * (raw - 1) / (max_score - 1)
item_design,Item-writing design,ulm,防猜性,5,1 + 4 * (raw - 1) / (max_score - 1)
item_design,Item-writing design,ulm,迷惑性,5,1 + 4 * (raw - 1) / (max_score - 1)
item_design,Item-writing design,ulm,完整性,5,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,ulm,综合性,5,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,ulm,思维性,4,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,ulm,反馈性,5,1 + 4 * (raw - 1) / (max_score - 1)
cognitive_feedback,Cognitive and feedback value,ulm,答案解析专门评分,5,1 + 4 * (raw - 1) / (max_score - 1)
