item_id,paper,paper_item_no,source_true,cognitive_level,topic,adjusted_correct_probability,min_standardized_probability,max_standardized_probability,n_standardization_students,n_standardization_scenarios,standardized_block_positions,model_formula,adjustment_note
H001,P,1,Human,application,Obstruction,0.0800876347701863,0.05918804136500306,0.11198757028846472,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H002,P,2,Human,application,Tumors,0.6798901381088269,0.6099093706327638,0.7581121597842909,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H003,P,3,Human,recall,Obstruction,0.7798669547887003,0.7234287836680442,0.8398294529882319,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H004,P,4,Human,recall,Tumors,0.7798669547886975,0.7234287836680409,0.8398294529882296,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H005,P,5,Human,recall,Other,0.8598805217960367,0.8195508924499253,0.9010310566424156,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H006,P,6,Human,application,Obstruction,0.899900877077278,0.8694736078974198,0.930327984098617,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H007,P,7,Human,application,Tumors,0.8598805217960339,0.8195508924499225,0.9010310566424139,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H008,P,8,Human,recall,Stones,0.9799741092211218,0.9732222030179521,0.9864598765562644,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H009,P,9,Human,application,Tumors,0.9199149146850213,0.8949159137027101,0.9446634359439053,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H010,P,10,Human,application,Tumors,0.4800098503542734,0.403146020871895,0.5751884957207806,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H011,P,11,Human,application,Other,0.9199149146850205,0.8949159137027088,0.9446634359439048,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H012,P,12,Human,application,Obstruction,0.8798894577786649,0.8443534451326173,0.9157850590457594,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H013,P,13,Human,application,Tumors,0.8398739354465952,0.79506149375639,0.8860622956856633,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H014,P,14,Human,application,Stones,0.38007462225911454,0.30902824520974836,0.47271703877273213,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
H015,P,15,Human,application,Stones,0.8598805217960339,0.8195508924499223,0.9010310566424139,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
