source,target_id,item_id,paper_item_no_from_match,excel_row,rater_id,source_file,sheet,match_score,item_type_from_sheet,quality_score_5,qg_fluency,qg_clarity,qg_conciseness,qg_relevance,qg_consistency,qg_answerability,qg_answer_consistency,llm_fluency,llm_exclusiveness,llm_explicitness,llm_goal_alignment,llm_comprehensiveness,llm_focus,llm_guess_resistance,llm_completeness,llm_correctness,llm_solvability,llm_absoluteness,llm_plausibility,llm_reasoning,llm_feedback,llm_fairness,llm_explanation_score
Human,Human_row_003,H003,3,3,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,A1,4.304347826086956,5,5,5,5,5,5,5,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3
Human,Human_row_004,H004,4,4,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,0.991150442477876,,3.782608695652174,5,5,5,4,5,5,5,5,4,3,4,2,3,4,3,5,5,5,2,1,2,3,2
Human,Human_row_005,H005,5,5,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,0.9782608695652174,,4.043478260869565,5,5,5,4,5,5,5,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3
Human,Human_row_006,H016,16,6,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,,4.086956521739131,5,5,5,4,5,5,5,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3
Human,Human_row_007,H017,17,7,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,,4.130434782608695,5,5,5,4,5,5,5,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3
Human,Human_row_008,H020,20,8,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,,4.0,5,5,5,5,5,5,4,5,5,3,5,1,4,4,5,5,5,5,2,1,2,3,3
Human,Human_row_009,H008,8,9,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,,4.043478260869565,5,5,5,5,5,5,5,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3
Human,Human_row_010,H001,1,10,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,A2,3.565217391304348,4,3,5,3,3,3,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,3,4
Human,Human_row_011,H002,2,11,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,,4.217391304347826,5,5,5,5,5,5,5,5,5,4,5,2,4,4,5,5,5,5,3,1,3,3,3
Human,Human_row_012,H006,6,12,expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,1.0,,4.173913043478261,5,5,5,5,5,5,5,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3
