source,item_seq,family,dimension,max_score,raw_score,any_score_capped_to_max
Human,1,QGval,Answer consistency,5,5.0,False
Human,1,QGval,Answerability,5,5.0,False
Human,1,QGval,Clarity,5,5.0,False
Human,1,QGval,Conciseness,5,4.666666666666667,False
Human,1,QGval,Consistency,5,5.0,False
Human,1,QGval,Fluency,5,4.666666666666667,False
Human,1,QGval,Relevance,5,4.666666666666667,False
Human,1,ULM,Absoluteness,5,5.0,False
Human,1,ULM,Completeness,5,5.0,False
Human,1,ULM,Comprehensiveness,5,2.3333333333333335,False
Human,1,ULM,Correctness,5,5.0,False
Human,1,ULM,Exclusiveness,5,5.0,False
Human,1,ULM,Explanation score,5,3.6666666666666665,False
Human,1,ULM,Explicitness,4,3.6666666666666665,False
Human,1,ULM,Fairness,3,3.0,False
Human,1,ULM,Feedback,5,3.3333333333333335,False
Human,1,ULM,Fluency,5,4.666666666666667,False
Human,1,ULM,Focus,5,4.333333333333333,False
Human,1,ULM,Goal alignment,5,5.0,False
Human,1,ULM,Guess resistance,5,4.333333333333333,False
Human,1,ULM,Plausibility,5,2.6666666666666665,False
Human,1,ULM,Reasoning,4,2.0,False
Human,1,ULM,Solvability,5,5.0,False
Human,2,QGval,Answer consistency,5,5.0,False
Human,2,QGval,Answerability,5,5.0,False
Human,2,QGval,Clarity,5,5.0,False
Human,2,QGval,Conciseness,5,5.0,False
Human,2,QGval,Consistency,5,5.0,False
Human,2,QGval,Fluency,5,4.666666666666667,False
Human,2,QGval,Relevance,5,4.333333333333333,False
Human,2,ULM,Absoluteness,5,5.0,False
Human,2,ULM,Completeness,5,3.6666666666666665,False
Human,2,ULM,Comprehensiveness,5,2.0,False
Human,2,ULM,Correctness,5,5.0,False
Human,2,ULM,Exclusiveness,5,4.333333333333333,False
Human,2,ULM,Explanation score,5,3.0,False
Human,2,ULM,Explicitness,4,3.3333333333333335,False
Human,2,ULM,Fairness,3,3.0,False
Human,2,ULM,Feedback,5,2.6666666666666665,False
Human,2,ULM,Fluency,5,5.0,False
Human,2,ULM,Focus,5,4.0,False
Human,2,ULM,Goal alignment,5,4.666666666666667,False
Human,2,ULM,Guess resistance,5,4.333333333333333,False
Human,2,ULM,Plausibility,5,2.6666666666666665,False
Human,2,ULM,Reasoning,4,1.3333333333333333,False
Human,2,ULM,Solvability,5,5.0,False
Human,3,QGval,Answer consistency,5,5.0,False
Human,3,QGval,Answerability,5,5.0,False
Human,3,QGval,Clarity,5,5.0,False
Human,3,QGval,Conciseness,5,5.0,False
Human,3,QGval,Consistency,5,5.0,False
Human,3,QGval,Fluency,5,5.0,False
Human,3,QGval,Relevance,5,4.333333333333333,False
Human,3,ULM,Absoluteness,5,5.0,False
Human,3,ULM,Completeness,5,5.0,False
Human,3,ULM,Comprehensiveness,5,1.6666666666666667,False
Human,3,ULM,Correctness,5,5.0,False
Human,3,ULM,Exclusiveness,5,5.0,False
Human,3,ULM,Explanation score,5,3.6666666666666665,False
Human,3,ULM,Explicitness,4,3.3333333333333335,False
Human,3,ULM,Fairness,3,3.0,False
Human,3,ULM,Feedback,5,3.3333333333333335,False
Human,3,ULM,Fluency,5,5.0,False
Human,3,ULM,Focus,5,4.333333333333333,False
Human,3,ULM,Goal alignment,5,5.0,False
Human,3,ULM,Guess resistance,5,4.0,False
Human,3,ULM,Plausibility,5,2.6666666666666665,False
Human,3,ULM,Reasoning,4,1.3333333333333333,False
Human,3,ULM,Solvability,5,5.0,False
Human,4,QGval,Answer consistency,5,5.0,False
Human,4,QGval,Answerability,5,5.0,False
Human,4,QGval,Clarity,5,5.0,False
Human,4,QGval,Conciseness,5,5.0,False
Human,4,QGval,Consistency,5,5.0,False
Human,4,QGval,Fluency,5,5.0,False
Human,4,QGval,Relevance,5,4.333333333333333,False
Human,4,ULM,Absoluteness,5,5.0,False
Human,4,ULM,Completeness,5,5.0,False
Human,4,ULM,Comprehensiveness,5,1.6666666666666667,False
Human,4,ULM,Correctness,5,5.0,False
Human,4,ULM,Exclusiveness,5,5.0,False
Human,4,ULM,Explanation score,5,3.6666666666666665,False
Human,4,ULM,Explicitness,4,3.3333333333333335,False
Human,4,ULM,Fairness,3,3.0,False
Human,4,ULM,Feedback,5,3.3333333333333335,False
Human,4,ULM,Fluency,5,5.0,False
Human,4,ULM,Focus,5,4.333333333333333,False
Human,4,ULM,Goal alignment,5,5.0,False
Human,4,ULM,Guess resistance,5,4.333333333333333,False
Human,4,ULM,Plausibility,5,2.6666666666666665,False
Human,4,ULM,Reasoning,4,1.3333333333333333,False
Human,4,ULM,Solvability,5,5.0,False
Human,5,QGval,Answer consistency,5,5.0,False
Human,5,QGval,Answerability,5,5.0,False
Human,5,QGval,Clarity,5,5.0,False
Human,5,QGval,Conciseness,5,5.0,False
Human,5,QGval,Consistency,5,5.0,False
Human,5,QGval,Fluency,5,5.0,False
Human,5,QGval,Relevance,5,4.333333333333333,False
Human,5,ULM,Absoluteness,5,5.0,False
Human,5,ULM,Completeness,5,5.0,False
Human,5,ULM,Comprehensiveness,5,2.0,False
Human,5,ULM,Correctness,5,5.0,False
Human,5,ULM,Exclusiveness,5,5.0,False
Human,5,ULM,Explanation score,5,3.6666666666666665,False
Human,5,ULM,Explicitness,4,3.3333333333333335,False
Human,5,ULM,Fairness,3,3.0,False
Human,5,ULM,Feedback,5,3.3333333333333335,False
Human,5,ULM,Fluency,5,5.0,False
Human,5,ULM,Focus,5,4.333333333333333,False
Human,5,ULM,Goal alignment,5,5.0,False
Human,5,ULM,Guess resistance,5,4.333333333333333,False
Human,5,ULM,Plausibility,5,2.6666666666666665,False
Human,5,ULM,Reasoning,4,1.3333333333333333,False
Human,5,ULM,Solvability,5,5.0,False
Human,6,QGval,Answer consistency,5,4.333333333333333,False
Human,6,QGval,Answerability,5,4.666666666666667,False
Human,6,QGval,Clarity,5,4.333333333333333,False
Human,6,QGval,Conciseness,5,5.0,False
Human,6,QGval,Consistency,5,4.666666666666667,False
Human,6,QGval,Fluency,5,5.0,False
Human,6,QGval,Relevance,5,4.666666666666667,False
Human,6,ULM,Absoluteness,5,5.0,False
Human,6,ULM,Completeness,5,5.0,False
Human,6,ULM,Comprehensiveness,5,1.3333333333333333,False
Human,6,ULM,Correctness,5,5.0,False
Human,6,ULM,Exclusiveness,5,4.333333333333333,False
Human,6,ULM,Explanation score,5,3.0,False
Human,6,ULM,Explicitness,4,3.0,False
Human,6,ULM,Fairness,3,3.0,False
Human,6,ULM,Feedback,5,2.3333333333333335,False
Human,6,ULM,Fluency,5,5.0,False
Human,6,ULM,Focus,5,4.0,False
Human,6,ULM,Goal alignment,5,5.0,False
Human,6,ULM,Guess resistance,5,4.0,False
Human,6,ULM,Plausibility,5,2.0,False
Human,6,ULM,Reasoning,4,1.3333333333333333,False
Human,6,ULM,Solvability,5,5.0,False
Human,7,QGval,Answer consistency,5,5.0,False
Human,7,QGval,Answerability,5,5.0,False
Human,7,QGval,Clarity,5,5.0,False
Human,7,QGval,Conciseness,5,5.0,False
Human,7,QGval,Consistency,5,5.0,False
Human,7,QGval,Fluency,5,5.0,False
Human,7,QGval,Relevance,5,4.666666666666667,False
Human,7,ULM,Absoluteness,5,5.0,False
Human,7,ULM,Completeness,5,5.0,False
Human,7,ULM,Comprehensiveness,5,1.6666666666666667,False
