item_id,paper,paper_item_no,source_true,item_type,header_item_type,source_item_id,answer_key,answer_key_from_report,test_point,topic,blueprint_cognitive_level,cognitive_level,has_vignette,char_count,flesch_reading_ease,fuzzywuzzy_ratio_max,sentencebert_cosine_max,ngram_jaccard_max,question_text
M001,M,1,MAS,A1,A1,0,D,D,尿液检查-血尿,Infection,recall,knowledge,1,79,121.22000000000003,56.0,0.8805636167526245,28.0,"对于突发全程肉眼血尿、无尿路刺激征的患者，为鉴别血尿来源，首选的检查是
A. 膀胱镜检查
B. 清洁中段尿培养
C. 静脉肾盂造影
D. 尿相差显微镜检查
E. 同位素肾动脉扫描"
M002,M,2,MAS,A1,A1,177,C,C,泌尿、男性生殖系统肿瘤-尿路上皮肿瘤（膀胱肿瘤，肾盂、输尿管癌）,Tumors,recall,knowledge,0,51,121.22000000000003,51.0,0.8502716422080994,25.0,"膀胱肿瘤最常见的首发症状是
A. 尿频、尿急、尿痛
B. 下腹部疼痛
C. 无痛性肉眼血尿
D. 排尿困难
E. 腰部疼痛"
M003,M,3,MAS,A2,A2,85,C,C,泌尿、男性生殖系统结核-泌尿系统结核,Tumors,application,application,1,116,121.22000000000003,43.0,0.8665800094604492,12.0,"男，60岁。因反复尿频、尿急、排尿不适半年，加重伴终末血尿1个月就诊。尿常规：白细胞（+），红细胞（++）。静脉尿路造影显示右肾上盏边缘虫蚀样改变。该患者最可能的诊断是
A. 右肾结石
B. 右肾肿瘤
C. 右肾结核
D. 慢性肾盂肾炎
E. 右肾囊肿"
M004,M,4,MAS,A2,A2,231,C,C,肾功能不全-急性肾损伤（急性肾衰竭）,Trauma,application,application,1,259,-175.89499999999998,38.0,0.6944009065628052,16.0,"男，55岁。因“急性心肌梗死”入院，行急诊经皮冠状动脉介入治疗（PCI）后出现心源性休克，予大剂量多巴胺、去甲肾上腺素升压治疗。3天后患者尿量锐减至200ml/d，伴恶心、呕吐。查体：BP 130/80mmHg（靠升压药维持）。实验室检查：血肌酐由入院时78μmol/L升至420μmol/L，尿素氮28mmol/L。尿常规：尿比重1.010，尿蛋白（+），尿沉渣镜检可见颗粒管型及肾小管上皮细胞。该患者急性肾衰竭最常见的病理类型是
A. 急性肾小球肾炎
B. 急进性肾小球肾炎
C. 急性肾小管坏死
D. 急性间质性肾炎
E. 肾小血管炎"
M005,M,5,MAS,A2,A2,260,B,B,泌尿系统梗阻-良性前列腺增生,Tumors,application,application,1,142,-6.694999999999993,63.0,0.9023388028144836,22.0,"男，68岁。进行性排尿困难5年，夜尿增多。直肠指检前列腺增大，中央沟消失，质地韧，表面光滑。血清PSA 1.8ng/ml。B超示前列腺大小为5.2×4.6×4.5cm，残余尿量40ml。该患者最可能的诊断是
A. 前列腺癌
B. 良性前列腺增生
C. 尿道狭窄
D. 神经源性膀胱功能障碍
E. 膀胱颈挛缩"
M006,M,6,MAS,A1,A1,187,D,D,泌尿、男性生殖系统肿瘤-肾肿瘤（肾癌、肾母细胞瘤、肾血管平滑肌脂肪瘤）,Tumors,recall,knowledge,0,65,121.22000000000003,45.0,0.84344482421875,14.0,"对侧肾功能正常的局限性肾癌（T1期），最适宜的治疗是
A. 根治性肾切除术
B. 肾动脉栓塞术
C. 密切观察随访
D. 肾部分切除术
E. 放射治疗"
M007,M,7,MAS,A1,A1,235,A,A,泌尿系统外伤-前尿道外伤,Trauma,recall,knowledge,0,60,121.22000000000003,82.0,0.8393090963363647,46.0,"骑跨伤后会阴部疼痛、尿道出血、不能排尿，应考虑的诊断是
A. 尿道球部损伤
B. 耻骨骨折
C. 后尿道损伤
D. 睾丸损伤
E. 膀胱破裂"
M008,M,8,MAS,A2,A2,263,C,C,泌尿、男性生殖系统肿瘤-尿路上皮肿瘤（膀胱肿瘤，肾盂、输尿管癌）,Tumors,application,application,1,127,121.22000000000003,69.0,0.8955363035202026,28.0,"男，50岁。间歇性无痛性全程肉眼血尿3个月，加重伴血块3天。B超检查提示膀胱内有一个1.5cm×2.0cm×1.0cm的新生物，有蒂。目前最常用的治疗方法是
A. 膀胱部分切除术
B. 根治性膀胱全切术
C. 经尿道膀胱肿瘤电切术
D. 膀胱灌注化疗
E. 全身化疗联合放疗"
M009,M,9,MAS,A2,A2,279,D,D,泌尿、男性生殖系统先天性畸形及其他疾病-鞘膜积液,Andrology/Pelvic floor,application,application,1,156,121.22000000000003,58.0,0.7925325036048889,26.0,"男，63岁。发现右侧阴囊内无痛性肿块进行性增大1年，行走时有坠胀感。查体：右侧阴囊肿大，可触及一6cm×5cm×4cm的囊性肿块，表面光滑，无压痛，透光试验阳性，平卧后肿块不缩小。该患者首选的治疗方法是
A. 右侧腹股沟斜疝修补术
B. 右侧睾丸根治性切除术
C. 右侧鞘膜突高位结扎术
D. 右侧睾丸鞘膜翻转术
E. 定期穿刺抽液"
M010,M,10,MAS,A2,A2,320,C,C,肾功能不全-慢性肾脏病（慢性肾衰竭）,Other,application,application,1,157,-132.57999999999996,28.0,0.762656569480896,5.0,"男，68岁。因慢性肾功能衰竭（尿毒症期）规律血液透析治疗3年。1天前突发剧烈头痛、呕吐，急诊头颅CT提示右侧基底节区脑出血，出血量约15ml。目前患者神志模糊，血压180/110mmHg。针对其肾脏替代治疗，此时最应避免的方案是
A. 连续性肾脏替代治疗（CRRT）
B. 腹膜透析
C. 常规血液透析
D. 血液滤过
E. 血液灌流"
M011,M,11,MAS,A2,A2,76,B,B,尿路感染-慢性肾盂肾炎,Infection,application,application,1,115,36.62000000000003,33.0,0.8699065446853638,6.0,"女，48岁。反复发作尿频、尿急、腰痛10余年，多次尿培养为大肠埃希菌。近1年出现夜尿增多，血压轻度升高。为评估肾脏形态和结构改变，下列检查最具诊断价值的是
A. 肾脏B超
B. 静脉肾盂造影
C. 肾脏CT平扫
D. 放射性核素肾图
E. 膀胱镜检查"
M012,M,12,MAS,A2,A2,213,C,C,肾功能不全-慢性肾脏病（慢性肾衰竭）,Other,application,application,1,156,121.22000000000003,23.0,0.765566349029541,8.0,"女，68岁。慢性肾功能不全病史8年，长期接受保守治疗。近1年来，患者常于夜间睡眠时感到双下肢难以名状的不适感，如蚁走感、酸胀感，需不停活动或下床行走方能缓解，严重影响睡眠。神经系统查体未见明确阳性体征。该患者最可能出现的周围神经病变表现是
A. 对称性肢体远端感觉异常
B. 肌无力
C. 不宁腿综合征
D. 震颤
E. 腱反射亢进"
M013,M,13,MAS,A2,A2,261,C,C,泌尿、男性生殖系统肿瘤-尿路上皮肿瘤（膀胱肿瘤，肾盂、输尿管癌）,Tumors,application,application,1,109,36.62000000000003,44.0,0.8724391460418701,19.0,"男，52岁。反复无痛性肉眼血尿2个月，尿中可见条状血块。膀胱镜检查见右输尿管口喷血，尿脱落细胞学检查发现癌细胞。为明确诊断，首选的影像学检查方法是
A. 肾脏B超
B. 盆腔CT
C. 静脉尿路造影
D. 肾动脉造影
E. 放射性核素肾图"
M014,M,14,MAS,A2,A2,300,B,B,泌尿系统外伤-膀胱外伤,Trauma,application,application,1,153,36.62000000000003,64.0,0.8867307901382446,35.0,"男，30岁。不慎摔倒后下腹剧痛，无法自主排尿1小时。伤前曾大量饮用啤酒。查体：T36.5℃，P100次/分，BP120/80mmHg，下腹部压痛、反跳痛阳性，腹肌轻度紧张。膀胱区无明显膨隆，尿道口无血迹。为明确诊断，首选的检查是
A. 腹部CT平扫
B. 导尿试验
C. 诊断性腹腔穿刺
D. 腹部立位X线平片
E. 尿道造影"
M015,M,15,MAS,A2,A2,126,E,E,泌尿、男性生殖系统肿瘤-尿路上皮肿瘤（膀胱肿瘤，肾盂、输尿管癌）,Tumors,application,application,1,166,36.62000000000003,34.0,0.8207464814186096,12.0,"男，68岁。因“间歇性无痛性肉眼血尿3个月”入院。膀胱镜检见左侧输尿管口喷血，膀胱内未见肿瘤。CTU提示左肾盂内可见菜花样肿物，增强后轻度强化，同侧输尿管上段管壁略增厚。右肾功能正常。拟行手术治疗，其标准手术切除范围应包括
A. 左肾及同侧肾上腺
B. 左肾及同侧中上段输尿管
C. 单纯左肾切除
D. 左肾及同侧上段输尿管
E. 左肾及同侧全长输尿管"
M016,M,16,MAS,A2,A2,157,B,B,泌尿系统梗阻-肾积水,Obstruction,application,application,1,127,121.22000000000003,42.0,0.8410736918449402,15.0,"男婴，8个月。因“发现腹部包块1周”就诊。查体：左腹部可触及一囊性包块，表面光滑。B超提示左肾重度积水，肾皮质变薄，肾盂肾盏明显扩张，输尿管未见显示。该患儿肾积水最可能的梗阻部位是
A. 肾盂内
B. 肾盂输尿管连接处
C. 输尿管膀胱连接处
D. 输尿管中段
E. 后尿道"
M017,M,17,MAS,A1,A1,139,A,A,尿路结石-膀胱结石,Stones,recall,knowledge,0,85,121.22000000000003,48.0,0.9107542634010315,19.0,"膀胱结石最典型的临床表现是
A. 排尿困难伴尿流中断，改变体位后可继续排尿
B. 无痛性肉眼血尿
C. 尿频、尿急、尿痛，无排尿中断
D. 进行性排尿困难，尿线变细
E. 腰部绞痛伴镜下血尿"
